iter	Passed	Remaining
408	4993	7215
409	5004	7201
410	5014	7186
411	5023	7168
412	5032	7152
413	5041	7136
414	5050	7119
415	5061	7106
416	5072	7092
417	5083	7077
418	5094	7064
419	5109	7056
420	5123	7046
421	5134	7031
422	5143	7015
423	5153	7000
424	5163	6985
425	5172	6970
426	5182	6954
427	5191	6938
428	5200	6921
429	5213	6910
430	5232	6907
431	5250	6903
432	5262	6890
433	5273	6877
434	5285	6865
435	5298	6853
436	5310	6841
437	5319	6825
438	5329	6810
439	5338	6795
440	5348	6779
441	5364	6772
442	5381	6765
443	5392	6752
444	5401	6737
445	5411	6721
446	5421	6706
447	5429	6689
448	5438	6674
449	5447	6658
450	5457	6642
451	5466	6627
452	5476	6613
453	5487	6599
454	5502	6591
455	5517	6581
456	5528	6568
457	5538	6554
458	5548	6539
459	5557	6524
460	5567	6509
461	5577	6494
462	5587	6480
463	5597	6465
464	5606	6450
465	5617	6437
466	5632	6428
467	5646	6419
468	5657	6404
469	5667	6390
470	5676	6375
471	5686	6361
472	5695	6346
473	5705	6331
474	5714	6316
475	5723	6301
476	5732	6285
477	5741	6270
478	5755	6260
479	5772	6253
480	5783	6240
481	5794	6227
482	5803	6212
483	5813	6197
484	5821	6181
485	5830	6166
486	5840	6152
487	5849	6136
488	5858	6122
489	5868	6107
490	5880	6096
491	5896	6088
492	5910	6078
493	5920	6064
494	5932	6052
495	5940	6035
496	5949	6021
497	5959	6007
498	5972	5996
499	5983	5983
500	5993	5969
501	6002	5954
502	6013	5942
503	6029	5933
504	6043	5923
505	6056	5913
506	6069	5901
507	6080	5888
508	6097	5881
509	6113	5873
510	6123	5859
511	6134	5846
512	6147	5836
513	6164	5829
514	6177	5817
515	6187	5804
516	6198	5790
517	6217	5785
518	6233	5777
519	6251	5770
520	6269	5764
521	6300	5769
522	6324	5768
523	6339	5758
524	6354	5749
525	6367	5738
526	6378	5725
527	6391	5713
528	6411	5708
529	6430	5702
530	6445	5692
531	6457	5680
532	6469	5668
533	6480	5655
534	6492	5642
535	6505	5631
536	6517	5619
537	6531	5608
538	6561	5612
539	6586	5610
540	6622	5618
541	6651	5620
542	6665	5610
543	6691	5608
544	6709	5601
545	6730	5596
546	6756	5595
547	6768	5582
548	6784	5573
549	6796	5560
550	6817	5555
551	6842	5553
552	6857	5543
553	6869	5530
554	6881	5517
555	6893	5504
556	6906	5492
557	6918	5480
558	6932	5468
559	6960	5468
560	6977	5459
561	6989	5447
562	7001	5434
563	7014	5422
564	7028	5411
565	7051	5406
566	7073	5401
567	7089	5392
568	7102	5379
569	7114	5367
570	7126	5354
571	7141	5343
572	7163	5338
573	7178	5327
574	7191	5315
575	7214	5310
576	7231	5301
577	7245	5290
578	7258	5277
579	7276	5268
580	7299	5264
581	7322	5258
582	7340	5250
583	7372	5251
584	7384	5238
585	7397	5226
586	7414	5216
587	7425	5202
588	7434	5188
589	7446	5174
590	7459	5162
591	7475	5151
592	7493	5142
593	7507	5131
594	7519	5118
595	7533	5106
596	7547	5095
597	7563	5084
598	7573	5070
599	7584	5056
600	7594	5041
601	7610	5031
602	7625	5020
603	7636	5006
604	7646	4992
605	7656	4977
606	7666	4963
607	7677	4950
608	7691	4938
609	7705	4926
610	7718	4914
611	7735	4903
612	7856	4959
613	7887	4958
614	7971	4990
615	8084	5039
616	8141	5054
617	8163	5046
618	8191	5041
619	8212	5033
620	8230	5023
621	8247	5011
622	8267	5002
623	8281	4990
624	8298	4979
625	8314	4967
626	8335	4958
627	8354	4949
628	8369	4936
629	8385	4924
630	8401	4913
631	8415	4900
632	8440	4893
633	8480	4895
634	8503	4887
635	8523	4877
636	8548	4871
637	8566	4860
638	8585	4850
639	8612	4844
640	8637	4837
641	8652	4825
642	8671	4814
643	8691	4804
644	8711	4794
645	8734	4786
646	8763	4781
647	8771	4764
648	8784	4751
649	8804	4740
650	8826	4731
651	8849	4723
652	8891	4725
653	8907	4712
654	8937	4707
655	8953	4694
656	8967	4681
657	8983	4669
658	9001	4657
659	9022	4648
660	9034	4633
661	9047	4619
662	9062	4606
663	9079	4594
664	9095	4582
665	9112	4570
666	9132	4559
667	9154	4549
668	9169	4536
669	9181	4522
670	9194	4508
671	9212	4496
672	9229	4484
673	9244	4471
674	9254	4455
675	9271	4443
676	9287	4431
677	9310	4421
678	9322	4407
679	9333	4392
680	9343	4376
681	9353	4361
682	9363	4345
683	9373	4330
684	9383	4314
685	9397	4301
686	9413	4288
687	9424	4273
688	9434	4258
689	9444	4243
690	9454	4227
691	9463	4212
692	9473	4196
693	9482	4181
694	9490	4165
695	9500	4149
696	9510	4134
697	9521	4119
698	9537	4106
699	9549	4092
700	9563	4079
701	9576	4065
702	9589	4051
703	9598	4035
704	9611	4021
