iter	RMSE
349	46.46607637
350	46.46207897
351	46.45571845
352	46.45027713
353	46.44427895
354	46.43882922
355	46.43400218
356	46.43126259
357	46.42690688
358	46.42133288
359	46.41459599
360	46.40661727
361	46.39813861
362	46.39299455
363	46.38629281
364	46.38091272
365	46.37328785
366	46.36546099
367	46.3571707
368	46.35194467
369	46.34835292
370	46.3432829
371	46.34066545
372	46.33394693
373	46.3279582
374	46.32203333
375	46.31813712
376	46.31591442
377	46.30951808
378	46.30350561
379	46.29903169
380	46.28924414
381	46.28617423
382	46.28253191
383	46.27833896
384	46.27532154
385	46.27033096
386	46.2655729
387	46.25553454
388	46.25175995
389	46.24745343
390	46.24426463
391	46.2384904
392	46.22998472
393	46.2226712
394	46.2166166
395	46.20785813
396	46.20369343
397	46.20033493
398	46.19752603
399	46.19149248
400	46.18644284
401	46.18202823
402	46.17462286
403	46.16951601
404	46.16586733
405	46.15840516
406	46.15127684
407	46.14603234
408	46.14082441
409	46.13978856
410	46.13467537
411	46.12803021
412	46.1223337
413	46.11579266
414	46.10884947
415	46.10457473
416	46.10012224
417	46.09513097
418	46.0925706
419	46.08496079
420	46.07833421
421	46.07131674
422	46.06728498
423	46.06121323
424	46.05837092
425	46.05154532
426	46.04551911
427	46.04039827
428	46.03411652
429	46.02754749
430	46.02293278
431	46.01914461
432	46.01454327
433	46.01094621
434	46.00475356
435	46.00124845
436	45.99916351
437	45.99643156
438	45.98943283
439	45.98301067
440	45.97792574
441	45.97235216
442	45.96597696
443	45.95919274
444	45.95732596
445	45.95059245
446	45.94541394
447	45.94256314
448	45.93417595
449	45.92850621
450	45.91936647
451	45.91603866
452	45.90906524
453	45.90034472
454	45.89334791
455	45.88963599
456	45.8826975
457	45.87361967
458	45.87077604
459	45.86872735
460	45.86121046
461	45.85525228
462	45.84734952
463	45.84069994
464	45.83275664
465	45.82950002
466	45.82535501
467	45.81853263
468	45.81379747
469	45.809821
470	45.80293846
471	45.79841876
472	45.79312551
473	45.78953017
474	45.78652674
475	45.77774746
476	45.77584582
477	45.77045975
478	45.76862575
479	45.76138773
480	45.75751455
481	45.75230992
482	45.74591711
483	45.74200335
484	45.73848742
485	45.73223876
486	45.72447423
487	45.72236772
488	45.71451989
489	45.70778725
490	45.70102483
491	45.69562074
492	45.69200077
493	45.68693515
494	45.68038159
495	45.67531882
